,code,name
0,688389,N普门
1,688202,N美迪西
2,688128,N中电研
3,688023,N安恒
4,600468,百利电气
5,600821,津劝业
6,002707,众信旅游
7,300313,天山生物
8,000913,钱江摩托
9,603825,华扬联众
10,603801,志邦家居
11,002808,恒久科技
12,300219,鸿利智汇
13,300551,古鳌科技
14,300799,左江科技
15,600812,华北制药
16,300782,卓胜微
17,300438,鹏辉能源
18,000673,当代东方
19,300793,佳禾智能
20,300014,亿纬锂能
21,300468,四方精创
22,300575,中旗股份
23,300566,激智科技
24,300345,红宇新材
25,300797,钢研纳克
26,601107,四川成渝
27,600195,中牧股份
28,600126,杭钢股份
29,603786,科博达
30,000818,航锦科技
31,300577,开润股份
32,000895,双汇发展
33,002235,安妮股份
34,603898,好莱客
35,002785,万里石
36,603659,璞泰来
37,300492,山鼎设计
38,300618,寒锐钴业
39,002291,星期六
40,002726,龙大肉食
41,600797,浙大网新
42,002487,大金重工
43,603920,世运电路
44,000720,新能泰山
45,000158,常山北明
46,002679,福建金森
47,300757,罗博特科
48,000049,德赛电池
49,002351,漫步者
50,603129,春风动力
51,603538,美诺华
52,002208,合肥城建
53,300168,万达信息
54,688199,N久日
55,000810,创维数字
56,002156,通富微电
57,002797,第一创业
58,002961,瑞达期货
59,002012,凯恩股份
60,002242,九阳股份
61,002191,劲嘉股份
62,300787,海能实业
63,603136,天目湖
64,603179,新泉股份
65,002475,立讯精密
66,600409,三友化工
67,002098,浔兴股份
68,300449,汉邦高科
69,600079,人福医药
70,603596,伯特利
71,300348,长亮科技
72,603816,顾家家居
73,002596,海南瑞泽
74,603799,华友钴业
75,300703,创源文化
76,000961,中南建设
77,600595,*ST中孚
78,603986,兆易创新
79,600654,*ST中安
80,603501,韦尔股份
81,601058,赛轮轮胎
82,000796,凯撒旅游
83,603956,威派格
84,603040,新坐标
85,300029,天龙光电
86,300530,达志科技
87,300750,宁德时代
88,002637,赞宇科技
89,300474,景嘉微
90,300360,炬华科技
91,000671,阳 光 城
92,000670,*ST盈方
93,300226,上海钢联
94,002716,ST金贵
95,000982,*ST 中绒
96,002962,五方光电
97,603227,雪峰科技
98,002948,青岛银行
99,002210,*ST飞马
100,300033,同花顺
101,600389,江山股份
102,002530,金财互联
103,603013,亚普股份
104,002220,ST天宝
105,002650,加加食品
106,002036,联创电子
107,600546,山煤国际
108,603668,天马科技
109,002518,科士达
110,002641,永高股份
111,002202,金风科技
112,300176,派生科技
113,600993,马应龙
114,002591,恒大高新
115,603068,博通集成
116,300073,当升科技
117,000610,西安旅游
118,603196,日播时尚
119,000951,中国重汽
120,300241,瑞丰光电
121,002292,奥飞娱乐
122,300302,同有科技
123,600071,凤凰光学
124,300629,新劲刚
125,002798,帝欧家居
126,002321,华英农业
127,002670,国盛金控
128,300510,金冠股份
129,600872,中炬高新
130,002603,以岭药业
131,600738,兰州民百
132,002496,辉丰股份
133,601100,恒立液压
134,600673,东阳光
135,603180,金牌厨柜
136,300727,润禾材料
137,300285,国瓷材料
138,300369,绿盟科技
139,002709,天赐材料
140,000712,锦龙股份
141,002534,杭锅股份
142,300541,先进数通
143,600779,水井坊
144,600677,航天通信
145,300529,健帆生物
146,603661,恒林股份
147,000582,北部湾港
148,603037,凯众股份
149,600363,联创光电
150,603355,莱克电气
151,603317,天味食品
152,300356,光一科技
153,000933,神火股份
154,300250,初灵信息
155,601128,常熟银行
156,002479,富春环保
157,601808,中海油服
158,603589,口子窖
159,002714,牧原股份
160,300322,硕贝德
161,300200,高盟新材
162,603103,横店影视
163,002812,恩捷股份
164,300037,新宙邦
165,002042,华孚时尚
166,300207,欣旺达
167,300233,金城医药
168,300613,富瀚微
169,600641,万业企业
170,600745,闻泰科技
171,002131,利欧股份
172,601968,宝钢包装
173,603197,保隆科技
174,300338,开元股份
175,002134,天津普林
176,300205,天喻信息
177,300368,汇金股份
178,300155,安居宝
179,002429,兆驰股份
180,603303,得邦照明
181,300001,特锐德
182,601519,大智慧
183,300780,德恩精工
184,300579,数字认证
185,300663,科蓝软件
186,600438,通威股份
187,300598,诚迈科技
188,603979,金诚信
189,600466,蓝光发展
190,300648,星云股份
191,000429,粤高速Ａ
192,000066,中国长城
193,002358,森源电气
194,603823,百合花
195,002084,海鸥住工
196,600933,爱柯迪
197,600572,康恩贝
198,002185,华天科技
199,300409,道氏技术
200,002087,新野纺织
201,000816,ST慧业
202,603385,惠达卫浴
203,002233,塔牌集团
204,300314,戴维医疗
205,300316,晶盛机电
206,603309,维力医疗
207,603026,石大胜华
208,603027,千禾味业
209,002019,亿帆医药
210,000987,越秀金控
211,002273,水晶光电
212,002280,联络互动
213,601717,郑煤机
214,600535,天士力
215,000851,高鸿股份
216,002200,*ST云投
217,300586,美联新材
218,603208,江山欧派
219,002810,山东赫达
220,000935,四川双马
221,603758,秦安股份
222,600271,航天信息
223,002959,小熊电器
224,601818,光大银行
225,002819,东方中科
226,603612,索通发展
227,601066,中信建投
228,600655,豫园股份
229,600209,ST罗顿
230,603615,茶花股份
231,600421,*ST仰帆
232,300177,中海达
233,603658,安图生物
234,300450,先导智能
235,002577,雷柏科技
236,600061,国投资本
237,600223,鲁商发展
238,600621,华鑫股份
239,002683,宏大爆破
240,002460,赣锋锂业
241,002179,中航光电
242,002466,天齐锂业
243,000502,绿景控股
244,601628,中国人寿
245,300584,海辰药业
246,002822,中装建设
247,300148,天舟文化
248,300113,顺网科技
249,300003,乐普医疗
250,000735,罗 牛 山
251,603181,皇马科技
252,603993,洛阳钼业
253,300681,英搏尔
254,002390,信邦制药
255,600975,新五丰
256,300661,圣邦股份
257,300760,迈瑞医疗
258,000999,华润三九
259,600505,西昌电力
260,600068,葛洲坝
261,002127,南极电商
262,000789,万年青
263,002048,宁波华翔
264,002181,粤 传 媒
265,002387,维信诺
266,000965,天保基建
267,300007,汉威科技
268,002695,煌上煌
269,300023,宝德股份
270,002234,民和股份
271,300464,星徽精密
272,000786,北新建材
273,000813,德展健康
274,002035,华帝股份
275,601992,金隅集团
276,601118,海南橡胶
277,000526,紫光学大
278,002958,青农商行
279,688018,乐鑫科技
280,002419,天虹股份
281,000557,西部创业
282,600687,*ST刚泰
283,300526,中潜股份
284,002428,云南锗业
285,600486,扬农化工
286,600666,*ST瑞德
287,601186,中国铁建
288,002371,北方华创
289,002597,金禾实业
290,002889,东方嘉盛
291,300432,富临精工
292,300647,超频三
293,300274,阳光电源
294,002073,软控股份
295,000877,天山股份
296,600387,海越能源
297,600816,安信信托
298,002751,易尚展示
299,002537,海联金汇
300,600690,海尔智家
301,002205,国统股份
302,600850,华东电脑
303,002183,怡 亚 通
304,002320,海峡股份
305,300792,壹网壹创
306,002130,沃尔核材
307,603214,爱婴室
308,600754,锦江酒店
309,600259,广晟有色
310,300548,博创科技
311,600555,海航创新
312,300229,拓尔思
313,300251,光线传媒
314,002746,仙坛股份
315,603096,新经典
316,600460,士兰微
317,300397,天和防务
318,000027,深圳能源
319,300568,星源材质
320,600998,九州通
321,600759,洲际油气
322,601966,玲珑轮胎
323,600261,阳光照明
324,300735,光弘科技
325,300083,劲胜智能
326,600837,海通证券
327,600703,三安光电
328,002515,金字火腿
329,300643,万通智控
330,002800,天顺股份
331,600055,万东医疗
332,601877,正泰电器
333,002369,卓翼科技
334,002521,齐峰新材
335,000416,民生控股
336,000977,浪潮信息
337,300414,中光防雷
338,002398,垒知集团
339,300303,聚飞光电
340,603519,立霸股份
341,603997,继峰股份
342,603086,先达股份
343,002831,裕同科技
344,000539,粤电力Ａ
345,000998,隆平高科
346,600483,福能股份
347,300604,长川科技
348,002783,凯龙股份
349,600266,北京城建
350,002001,新 和 成
351,002688,金河生物
352,000762,西藏矿业
353,603515,欧普照明
354,600643,爱建集团
355,600226,瀚叶股份
356,603808,歌力思
357,002570,贝因美
358,601838,成都银行
359,300769,德方纳米
360,300711,广哈通信
361,000921,海信家电
362,300116,坚瑞沃能
363,600777,新潮能源
364,300415,伊之密
365,000860,顺鑫农业
366,002692,ST远程
367,300257,开山股份
368,002572,索菲亚
369,002023,海特高新
370,600865,百大集团
371,603396,金辰股份
372,300194,福安药业
373,300259,新天科技
374,300152,科融环境
375,600597,光明乳业
376,000061,农 产 品
377,600325,华发股份
378,002138,顺络电子
379,000567,海德股份
380,002172,澳洋健康
381,600218,全柴动力
382,600749,西藏旅游
383,300371,汇中股份
384,300406,九强生物
385,000888,峨眉山Ａ
386,000156,华数传媒
387,002478,常宝股份
388,300131,英唐智控
389,603833,欧派家居
390,600720,祁连山
391,002197,证通电子
392,000025,特 力Ａ
393,600548,深高速
394,601229,上海银行
395,000031,大悦城
396,000688,国城矿业
397,002020,京新药业
398,600871,石化油服
399,600513,联环药业
400,002861,瀛通通讯
401,600383,金地集团
402,000046,泛海控股
403,002299,圣农发展
404,002445,ST中南
405,600446,金证股份
406,300632,光莆股份
407,601225,陕西煤业
408,600371,万向德农
409,600802,福建水泥
410,600965,福成股份
411,000807,云铝股份
412,000710,贝瑞基因
413,600155,华创阳安
414,000878,云南铜业
415,603093,南华期货
416,600928,西安银行
417,002769,普路通
418,002381,双箭股份
419,002221,东华能源
420,600642,申能股份
421,600233,圆通速递
422,002495,佳隆股份
423,300072,三聚环保
424,601668,中国建筑
425,002575,群兴玩具
426,600480,凌云股份
427,601860,紫金银行
428,600062,华润双鹤
429,600285,羚锐制药
430,600769,祥龙电业
431,002505,大康农业
432,000996,中国中期
433,000686,东北证券
434,300189,神农科技
435,002182,云海金属
436,002465,海格通信
437,600083,博信股份
438,601216,君正集团
439,002888,惠威科技
